iterations,Size_37(MVA),Size_38(MVA),Size_39(MVA),Size_40(MVA),SCR_30,SCR_36,SCR_32,SCR_34,Total Size(MVA),NPV(in millions)
0,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
1,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
2,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
3,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
4,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
5,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
6,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
7,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
8,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
9,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
10,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
11,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
12,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
13,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
14,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
15,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
16,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
17,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
18,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
19,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
20,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
21,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
22,89.0,9.0,23.0,68.0,3.0360010961336177,3.028211613822434,3.020182449388044,3.0109049823663354,189.0,282.472526
