iterations,Size_37,Size_38,Size_39,Size_40
0,99,5,31,98
1,94,7,28,96
2,94,7,28,96
3,94,7,28,96
4,94,7,28,96
5,94,7,28,96
6,94,7,28,96
7,94,7,28,96
8,94,7,28,96
9,94,7,28,96
10,94,7,28,96
11,94,7,28,96
12,94,7,28,96
13,94,7,28,96
14,94,7,28,96
15,94,7,28,96
16,94,7,28,96
17,94,7,28,96
18,94,7,28,96
19,94,7,28,96
20,94,7,28,96
21,94,7,28,96
22,94,7,28,96
23,94,7,28,96
24,94,7,28,96
25,94,7,28,96
26,94,7,28,96
27,94,7,28,96
28,94,7,28,96
29,94,7,28,96
30,94,7,28,96
31,94,7,28,96
32,94,7,28,96
33,94,7,28,96
34,94,7,28,96
35,94,7,28,96
36,94,7,28,96
37,94,7,28,96
38,86,45,22,69
39,86,45,22,69
40,89,35,26,71
41,89,35,26,71
42,89,35,26,71
43,89,35,26,71
44,89,35,26,71
45,89,35,26,71
46,89,35,26,71
47,89,35,26,71
48,89,35,26,71
49,89,35,26,71
50,89,35,26,71
51,89,35,26,71
52,89,35,26,71
53,89,35,26,71
54,89,35,26,71
55,89,35,26,71
56,89,35,26,71
57,108,15,23,73
58,108,15,23,73
59,108,15,23,73
60,108,15,23,73
61,100,24,26,68
62,103,16,20,78
63,99,11,23,78
64,99,8,18,79
65,99,8,18,79
66,99,8,18,79
67,99,8,18,79
68,93,6,21,78
69,93,6,21,78
70,93,6,21,78
71,93,6,21,78
72,93,6,21,78
73,93,6,21,78
74,93,6,21,78
75,93,6,21,78
76,93,6,21,78
77,93,6,21,78
78,93,6,21,78
79,93,6,21,78
80,93,6,21,78
81,93,6,21,78
82,93,6,21,78
83,93,6,21,78
84,93,6,21,78
85,93,6,21,78
86,93,6,21,78
87,93,6,21,78
88,93,6,21,78
89,93,6,21,78
90,93,6,21,78
91,93,6,21,78
92,77,32,19,67
93,77,32,19,67
94,77,32,19,67
95,77,32,19,67
96,80,14,18,82
97,86,8,25,69
98,86,8,25,69
99,86,8,25,69
100,86,8,25,69
101,86,8,25,69
102,86,8,25,69
103,86,8,25,69
